ISIN,Delta,Rho,Maturity Standard Macaulay Duration,Maturity Standard Modified Duration,Option Adjusted Duration,Maturity Corp Modified Duration,Maturity Standard Modified Duration,Current Yield,Current Yield To Maturity,Original Yield to Maturity,Maturity Date,Universal Close Price,Volatility
US009066AB74,,,2.769444,2.700178,2.700178,2.70018,2.700178,0,5.13051,,15.03.2026,86.9102,14
XS2303829308,,,.69863,.791802,.791802,.75792,.791802,0,-11.76705,,18.02.2024,109.14,14
XS2287867563,,,2.558398,2.519361,2.519361,2.51879,2.519361,2.77427,3.09892,,05.02.2026,99.125,14
US122017AB26,,,1.819736,1.80156,1.80156,1.80156,1.80156,2.24061,2.01781,,15.04.2025,100.419,14
US596278AB74,,,2.208572,2.288111,2.288111,2.28811,2.288111,.83641,-6.95243,,01.09.2025,119.559,14
US26210CAD65,,,4.730556,4.684522,4.684522,4.68452,4.684522,0,1.96537,,01.03.2028,91.1632,14
XS1799614232,,,,,,,,,,,27.03.2025,104.912,14
XS2158580493,,,1.882968,1.88805,1.888299,1.88805,1.88805,.57803,-.53838,,29.04.2025,108.125,14
DE000A3H2UK7,,,2.394926,2.479183,2.479183,2.43814,2.479183,1.75529,-3.39859,,17.11.2025,113.941,14
FR0013444148,,,1.567123,1.613335,1.613335,1.58683,1.613335,0,-2.86436,,01.01.2025,31.827,14
US55405YAB65,,,2.759912,2.741709,2.741709,2.74171,2.741709,.25752,1.3278,,15.03.2026,97.0787,14
US538034AU37,,,1.657249,1.656849,1.656849,1.65685,1.656849,1.93632,.04831,,15.02.2025,103.289,14
US45867GAB77,,,.975867,1.020724,1.020724,1.02072,1.020724,1.79677,-8.78934,,01.06.2024,111.311,14
XS2276552598,,,2.539726,2.506512,2.506512,2.52223,2.506512,0,1.32509,,22.12.2025,96.712,14
XS2171663227,,,1.952778,1.850962,1.900533,1.90119,1.850962,0,5.50071,,21.05.2025,105.825,14
US70202LAB80,,,2.18034,2.234816,2.234816,2.23482,2.234816,.22326,-4.8752,,15.08.2025,111.978,14
US974637AB61,,,1.793666,1.855322,1.855322,1.85532,1.855322,1.2932,-6.64648,,01.04.2025,115.991,14
US852234AF05,,,1.7286,1.695755,1.695755,1.69575,1.695755,.13329,3.87377,,01.03.2025,93.7831,14
US780153BB73,,,.019444,.090322,.090322,.02064,.090322,3.99556,-156.94394,,15.06.2023,106.368,14
XS2260025296,,,2.452509,2.54232,2.54232,2.54076,2.54232,1.30943,-7.06531,,03.12.2025,124.1,14
FR0014000OG2,,,3.019178,3.094951,3.094951,3.0571,3.094951,0,-2.44827,,15.06.2026,190.151,14
US23248VAB18,,,1.436111,1.496782,1.496782,1.49678,1.496782,0,-8.10688,,15.11.2024,112.62,14
XS2352315571,,,1.005479,1.116847,1.116847,1.05978,1.116847,0,-9.97159,,10.06.2024,111.14,14
US472145AF83,,,2.920194,2.912199,2.912199,2.9122,2.912199,1.91683,.54905,,15.06.2026,104.339,14
US82452JAB52,,,2.519444,2.560796,2.560796,2.5608,2.560796,0,-3.22958,,15.12.2025,108.549,14
XS2211997155,,,,,,,,,,,04.08.2025,113.958,14
XS2154448059,,,1.817084,2.055966,2.055966,1.93288,2.055966,1.16597,-11.61895,,09.04.2025,128.648,14
US682189AS48,,,3.897222,4.182357,4.182357,4.18236,4.182357,0,-13.63513,,01.05.2027,173.39,14
XS2089160506,,,,,,,,,,,05.02.2025,103.125,14
US00971TAJ07,,,1.895455,1.942136,1.942136,1.94214,1.942136,.11372,-4.80726,,01.05.2025,109.923,14
US345370CZ16,,,2.769444,2.773948,2.773948,2.77395,2.773948,0,-.32469,,15.03.2026,100.904,14
